Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03 00:00:00+00:00,,,,,,
2000-01-04 00:00:00+00:00,,,,,,
2000-01-05 00:00:00+00:00,,,,,,
2000-01-06 00:00:00+00:00,,,,,,
2000-01-07 00:00:00+00:00,,,,,,
2000-01-10 00:00:00+00:00,,,,,,
2000-01-11 00:00:00+00:00,,,,,,
2000-01-12 00:00:00+00:00,,,,,,
2000-01-13 00:00:00+00:00,,,,,,
2000-01-14 00:00:00+00:00,,,,,,
2000-01-17 00:00:00+00:00,,,,,,
2000-01-18 00:00:00+00:00,,,,,,
2000-01-19 00:00:00+00:00,,,,,,
2000-01-20 00:00:00+00:00,,,,,,
2000-01-21 00:00:00+00:00,,,,,,
2000-01-24 00:00:00+00:00,,,,,,
2000-01-25 00:00:00+00:00,,,,,,
2000-01-26 00:00:00+00:00,,,,,,
2000-01-27 00:00:00+00:00,,,,,,
2000-01-28 00:00:00+00:00,,,,,,
2000-01-31 00:00:00+00:00,,,,,,
2000-02-01 00:00:00+00:00,,,,,,
2000-02-02 00:00:00+00:00,,,,,,
2000-02-03 00:00:00+00:00,,,,,,
2000-02-04 00:00:00+00:00,,,,,,
2000-02-07 00:00:00+00:00,,,,,,
2000-02-08 00:00:00+00:00,,,,,,
2000-02-09 00:00:00+00:00,,,,,,
2000-02-10 00:00:00+00:00,,,,,,
2000-02-11 00:00:00+00:00,,,,,,
2000-02-14 00:00:00+00:00,,,,,,
2000-02-15 00:00:00+00:00,,,,,,
2000-02-16 00:00:00+00:00,,,,,,
2000-02-17 00:00:00+00:00,,,,,,
2000-02-18 00:00:00+00:00,,,,,,
2000-02-21 00:00:00+00:00,,,,,,
2000-02-22 00:00:00+00:00,,,,,,
2000-02-23 00:00:00+00:00,,,,,,
2000-02-24 00:00:00+00:00,,,,,,
2000-02-25 00:00:00+00:00,,,,,,
2000-02-28 00:00:00+00:00,,,,,,
2000-02-29 00:00:00+00:00,,,,,,
2000-03-01 00:00:00+00:00,,,,,,
2000-03-02 00:00:00+00:00,,,,,,
2000-03-03 00:00:00+00:00,,,,,,
2000-03-06 00:00:00+00:00,,,,,,
2000-03-07 00:00:00+00:00,,,,,,
2000-03-08 00:00:00+00:00,,,,,,
2000-03-09 00:00:00+00:00,,,,,,
2000-03-10 00:00:00+00:00,,,,,,
2000-03-13 00:00:00+00:00,,,,,,
2000-03-14 00:00:00+00:00,,,,,,
2000-03-15 00:00:00+00:00,,,,,,
2000-03-16 00:00:00+00:00,,,,,,
2000-03-17 00:00:00+00:00,,,,,,
2000-03-20 00:00:00+00:00,,,,,,
2000-03-21 00:00:00+00:00,,,,,,
2000-03-22 00:00:00+00:00,,,,,,
2000-03-23 00:00:00+00:00,,,,,,
2000-03-24 00:00:00+00:00,,,,,,
2000-03-27 00:00:00+00:00,,,,,,
2000-03-28 00:00:00+00:00,,,,,,
2000-03-29 00:00:00+00:00,,,,,,
2000-03-30 00:00:00+00:00,,,,,,
2000-03-31 00:00:00+00:00,,,,,,
2000-04-03 00:00:00+00:00,,,,,,
2000-04-04 00:00:00+00:00,,,,,,
2000-04-05 00:00:00+00:00,,,,,,
2000-04-06 00:00:00+00:00,,,,,,
2000-04-07 00:00:00+00:00,,,,,,
2000-04-10 00:00:00+00:00,,,,,,
2000-04-11 00:00:00+00:00,,,,,,
2000-04-12 00:00:00+00:00,,,,,,
2000-04-13 00:00:00+00:00,,,,,,
2000-04-14 00:00:00+00:00,,,,,,
2000-04-17 00:00:00+00:00,,,,,,
2000-04-18 00:00:00+00:00,,,,,,
2000-04-19 00:00:00+00:00,,,,,,
2000-04-20 00:00:00+00:00,,,,,,
2000-04-21 00:00:00+00:00,,,,,,
2000-04-24 00:00:00+00:00,,,,,,
2000-04-25 00:00:00+00:00,,,,,,
2000-04-26 00:00:00+00:00,,,,,,
2000-04-27 00:00:00+00:00,,,,,,
2000-04-28 00:00:00+00:00,,,,,,
2000-05-01 00:00:00+00:00,,,,,,
2000-05-02 00:00:00+00:00,,,,,,
2000-05-03 00:00:00+00:00,,,,,,
2000-05-04 00:00:00+00:00,,,,,,
2000-05-05 00:00:00+00:00,,,,,,
2000-05-08 00:00:00+00:00,,,,,,
2000-05-09 00:00:00+00:00,,,,,,
2000-05-10 00:00:00+00:00,,,,,,
2000-05-11 00:00:00+00:00,,,,,,
2000-05-12 00:00:00+00:00,,,,,,
2000-05-15 00:00:00+00:00,,,,,,
2000-05-16 00:00:00+00:00,,,,,,
2000-05-17 00:00:00+00:00,,,,,,
2000-05-18 00:00:00+00:00,,,,,,
2000-05-19 00:00:00+00:00,142.65625,142.65625,140.25,140.6875,90.61618041992188,775500.0
2000-05-22 00:00:00+00:00,140.59375,140.59375,136.8125,139.8125,90.05261993408203,1850600.0
2000-05-23 00:00:00+00:00,140.21875,140.21875,137.6875,137.6875,88.68389892578125,373900.0
2000-05-24 00:00:00+00:00,137.75,140.0625,136.65625,139.75,90.0123291015625,400300.0
2000-05-25 00:00:00+00:00,140.03125,140.9375,137.875,138.46875,89.18708801269531,69600.0
2000-05-26 00:00:00+00:00,138.484375,138.75,137.0,137.84375,88.78450012207031,237000.0
2000-05-29 00:00:00+00:00,,,,,,
2000-05-30 00:00:00+00:00,139.28125,142.4375,139.28125,142.375,91.70307159423828,118100.0
2000-05-31 00:00:00+00:00,141.875,143.625,141.875,142.78125,91.96477508544922,216900.0
2000-06-01 00:00:00+00:00,143.90625,145.0625,143.625,145.0625,93.4341049194336,128700.0
2000-06-02 00:00:00+00:00,148.3125,148.78125,147.46875,147.9375,95.28587341308594,108400.0
2000-06-05 00:00:00+00:00,147.0,147.65625,146.6875,146.96875,94.66191101074219,192100.0
2000-06-06 00:00:00+00:00,146.4375,147.1875,145.6875,146.21875,94.17881774902344,209300.0
2000-06-07 00:00:00+00:00,146.21875,147.5,145.65625,147.1875,94.80277252197266,85400.0
2000-06-08 00:00:00+00:00,147.8125,147.8125,145.9375,146.65625,94.46063232421875,248400.0
2000-06-09 00:00:00+00:00,147.515625,147.515625,145.875,146.125,94.11843872070312,20200.0
2000-06-12 00:00:00+00:00,146.625,146.625,144.859375,144.859375,93.30328369140625,17600.0
2000-06-13 00:00:00+00:00,145.0,147.25,144.5,146.75,94.5210189819336,40300.0
