Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,68.625,69.0,66.0625,67.5,34.050968170166016,5309000
2000-01-04,66.0,66.125,61.5,62.5,31.52866554260254,6234400
2000-01-05,62.0,62.09375,58.625,60.21875,30.377880096435547,7744200
2000-01-06,60.1875,62.46875,60.125,61.375,30.961139678955078,6586000
2000-01-07,60.25,63.46875,59.71875,63.28125,31.922767639160156,6324800
2000-01-10,63.4375,65.5,63.28125,65.3125,33.05192184448242,4610200
2000-01-11,66.0,66.0625,64.75,65.3125,33.05192184448242,3945600
2000-01-12,65.4375,67.3125,65.25,65.8125,33.304954528808594,4291600
2000-01-13,66.0,66.59375,65.0,66.21875,33.51053237915039,3319200
2000-01-14,67.625,68.8125,66.71875,68.65625,34.744049072265625,3635800
2000-01-18,68.65625,69.375,66.84375,66.875,33.8426399230957,3460400
2000-01-19,67.3125,68.59375,67.25,67.84375,34.3328742980957,3452200
2000-01-20,67.0625,68.625,66.625,67.40625,34.11146545410156,4481000
2000-01-21,67.375,67.375,65.75,66.25,33.52635192871094,3965000
2000-01-24,66.75,67.25,62.71875,64.0,32.38771438598633,4191000
2000-01-25,63.875,65.6875,63.5,64.71875,32.751461029052734,4061400
2000-01-26,65.25,66.4375,64.125,66.4375,33.621238708496094,5503200
2000-01-27,66.0,68.375,65.625,67.5625,34.1905517578125,3009900
2000-01-28,66.0,67.6875,62.875,63.3125,32.039798736572266,3565800
2000-01-31,63.5,66.25,62.5,66.25,33.52635192871094,2606800
2000-02-01,65.625,65.875,63.5625,64.0,32.38771438598633,3177500
2000-02-02,63.75,67.25,62.625,65.125,32.957035064697266,3001000
2000-02-03,66.0,66.625,64.25,66.0,33.399845123291016,4021700
2000-02-04,65.625,65.875,64.0625,65.6875,33.24168395996094,2411100
2000-02-07,64.5,65.375,64.0,65.125,32.957035064697266,2611500
2000-02-08,67.0,68.6875,66.5,67.8125,34.31705856323242,2829000
2000-02-09,68.8125,68.9375,66.5,67.1875,34.000789642333984,3247900
2000-02-10,67.25,68.0,65.8125,66.8125,33.81100845336914,2029600
2000-02-11,66.875,69.0625,66.375,66.75,33.77937316894531,2970400
2000-02-14,67.5,67.75,65.75,66.0,33.399845123291016,1858800
2000-02-15,64.8125,65.6875,64.5,65.5625,33.178428649902344,2999100
2000-02-16,65.5625,66.4375,64.25,65.5625,33.178428649902344,2455100
2000-02-17,65.1875,65.5,62.875,63.25,32.008182525634766,2658800
2000-02-18,63.25,64.25,60.125,61.25,30.99606704711914,3347800
2000-02-22,62.25,62.6875,60.5,62.3125,31.53374671936035,3025700
2000-02-23,62.0625,67.25,61.625,65.75,33.273319244384766,3966300
2000-02-24,67.5,70.25,66.125,69.0625,34.94965744018555,5636000
2000-02-25,69.125,71.1875,67.75,69.875,35.36080551147461,4249800
2000-02-28,68.5,69.75,68.0,69.1875,35.012908935546875,3657500
2000-02-29,68.9375,70.4375,68.125,70.4375,35.64548873901367,3836300
2000-03-01,71.875,75.5,71.5,75.25,38.080867767333984,4900700
2000-03-02,74.75,77.25,74.0625,76.5625,38.74507141113281,3321500
2000-03-03,78.25,79.1875,75.875,79.1875,40.07347869873047,3503000
2000-03-06,79.3125,81.1875,79.25,80.875,40.927433013916016,2856400
2000-03-07,81.25,82.375,80.125,81.0,40.99070739746094,4255700
2000-03-08,80.9375,81.0,77.875,79.0,39.97857666015625,3068100
2000-03-09,79.75,83.375,79.0,83.375,42.192604064941406,2876600
2000-03-10,84.375,89.75,83.9375,86.625,43.8372802734375,4306600
2000-03-13,83.0,85.625,80.625,82.5,41.74979782104492,2818300
2000-03-14,82.0,84.9375,78.3125,79.9375,40.45301818847656,2935800
2000-03-15,80.4375,80.625,77.75,78.0,39.47252655029297,4110900
2000-03-16,76.5,81.0,73.75,80.75,40.86419677734375,5975900
2000-03-17,82.3125,88.9375,82.0625,88.875,44.975914001464844,5726800
2000-03-20,90.0,91.875,87.5,87.6875,44.37498474121094,4139200
2000-03-21,85.5625,89.0,83.375,88.6875,44.88102722167969,6144000
2000-03-22,90.0,90.9375,89.4375,90.140625,45.616397857666016,4404400
2000-03-23,90.3125,95.0,86.25,94.75,47.949012756347656,7123900
2000-03-24,93.375,97.375,93.375,95.8125,48.48670196533203,4861600
2000-03-27,94.375,94.375,89.375,90.0,45.54523849487305,3073500
2000-03-28,87.0,89.625,86.5625,88.0,44.53309631347656,4902000
2000-03-29,88.5,89.1875,83.8125,86.75,43.90053939819336,3079000
2000-03-30,85.5625,88.25,82.8125,84.140625,42.58002853393555,3842200
2000-03-31,83.5,84.125,79.5,82.875,41.93955612182617,4280200
2000-04-03,83.4375,86.75,83.4375,85.375,43.20471954345703,3947200
2000-04-04,86.25,86.25,74.125,78.625,39.78881072998047,8308000
2000-04-05,78.375,80.8125,75.8125,79.75,40.35812759399414,5648200
2000-04-06,81.0,85.5,81.0,85.3125,43.17308044433594,4009600
2000-04-07,87.1875,87.1875,84.5625,84.5625,42.79355239868164,3310900
2000-04-10,86.0,90.0625,85.75,88.75,44.912654876708984,4620900
2000-04-11,88.875,90.1875,84.5,86.0625,43.552642822265625,4020800
2000-04-12,88.75,88.75,79.5,79.75,40.4521369934082,5398400
2000-04-13,80.0,80.125,75.0,75.5,38.29637908935547,5821500
2000-04-14,71.0,71.9375,64.75,66.875,33.921451568603516,9867100
2000-04-17,66.75,69.375,65.25,68.9375,34.9676399230957,6798900
2000-04-18,69.0,76.8125,68.6875,75.75,38.42319107055664,6230100
2000-04-19,76.625,76.625,73.125,75.0,38.042762756347656,2862300
2000-04-20,74.75,75.0,73.0625,75.0,38.042762756347656,2884500
2000-04-24,75.0,77.8125,73.375,77.625,39.37425994873047,4779200
2000-04-25,77.8125,80.9375,76.375,79.875,40.51553726196289,4381900
2000-04-26,80.0625,82.75,78.8125,80.625,40.89598083496094,3405300
2000-04-27,77.0,80.5,76.25,80.5,40.83256149291992,3252400
2000-04-28,81.5,81.5625,75.875,76.75,38.93043518066406,2409500
2000-05-01,76.5,82.625,75.5625,79.75,40.4521369934082,3554500
2000-05-02,77.5625,79.25,75.5,75.75,38.42319107055664,3337200
2000-05-03,75.5,76.625,72.5,73.0,37.02829360961914,3720000
2000-05-04,74.5,74.5,70.3125,71.625,36.33081817626953,3061200
2000-05-05,71.0625,74.5,70.375,71.125,36.07722854614258,3523400
2000-05-08,71.0625,72.875,70.5,71.8125,36.42595672607422,2437500
2000-05-09,72.25,73.4375,70.25,71.125,36.07722854614258,2491600
2000-05-10,70.375,70.5625,65.0,66.125,33.54103088378906,6080000
2000-05-11,68.5,68.75,66.25,67.0,33.984859466552734,3779500
2000-05-12,67.0,69.875,66.0,69.40625,35.205406188964844,2938500
2000-05-15,69.625,75.0,69.5,74.0625,37.567230224609375,3909700
2000-05-16,75.75,79.375,74.1875,75.25,38.16957473754883,5151900
2000-05-17,75.5,76.9375,73.125,76.0,38.55001449584961,2955000
2000-05-18,75.75,77.8125,74.0625,74.6875,37.88425064086914,3444200
2000-05-19,71.875,72.625,68.25,69.4375,35.22127151489258,3938700
2000-05-22,68.75,69.75,65.8125,67.5,34.23847961425781,3407400
2000-05-23,67.5,69.625,67.25,68.25,34.6189079284668,2409000
2000-05-24,69.25,70.1875,67.25,68.25,34.6189079284668,3413600
2000-05-25,68.25,71.0,63.5625,64.0,32.46316146850586,6233200
2000-05-26,62.375,64.4375,62.375,63.6875,32.30465316772461,3930900
2000-05-30,64.0,67.0625,63.875,67.0,33.984859466552734,3462400
2000-05-31,66.75,71.9375,66.375,71.5,36.26742172241211,4396300
2000-06-01,72.0,76.0,70.125,75.25,38.16957473754883,4860400
2000-06-02,84.0,84.0,79.625,83.0625,42.13236618041992,5189900
2000-06-05,81.0,82.875,80.3125,82.125,41.656837463378906,2643600
2000-06-06,81.25,81.375,79.25,79.75,40.4521369934082,2111200
2000-06-07,79.125,82.0,79.125,79.9375,40.547237396240234,3866200
2000-06-08,79.9375,79.9375,78.125,78.75,39.94488525390625,1709000
2000-06-09,80.125,81.75,79.0625,79.25,40.19851303100586,1801400
2000-06-12,79.25,81.4375,79.25,80.8125,40.9910888671875,1852500
2000-06-13,80.8125,84.0,79.9375,83.375,42.290870666503906,2733800
2000-06-14,83.375,86.25,82.8125,85.5,43.36875915527344,3130900
2000-06-15,84.625,84.875,80.25,83.9375,42.57619094848633,2789200
2000-06-16,82.125,84.0625,81.0,81.125,41.14957046508789,4140100
2000-06-19,83.0,86.0,82.0625,84.4375,42.829830169677734,2802800
2000-06-20,84.5,87.25,84.125,86.5625,43.90768051147461,2496600
2000-06-21,87.25,87.9375,84.6875,85.625,43.432151794433594,2832600
2000-06-22,84.125,84.5625,82.5625,83.1875,42.19576644897461,2875000
2000-06-23,83.0,84.4375,80.6875,81.125,41.14957046508789,2390500
2000-06-26,82.375,83.125,80.625,82.1875,41.688499450683594,2839600
2000-06-27,81.5,84.25,81.3125,83.0,42.10065460205078,3507500
2000-06-28,82.875,84.4375,81.875,83.5,42.354286193847656,3009100
2000-06-29,83.0,85.125,81.5625,84.375,42.7981071472168,3229400
2000-06-30,84.5625,87.25,83.234375,83.25,42.227455139160156,4752100
2000-07-03,83.75,85.25,83.5,85.0,43.11512756347656,1200900
2000-07-05,85.625,89.125,84.8125,86.875,44.17012405395508,4212800
2000-07-06,86.9375,89.625,85.8125,89.5,45.5047607421875,3809300
2000-07-07,88.875,91.125,88.3125,90.625,46.076751708984375,3450700
2000-07-10,90.5,93.625,90.0625,93.375,47.4749755859375,3778800
2000-07-11,92.125,94.9375,91.8125,94.875,48.23760986328125,3266700
2000-07-12,95.0,96.25,94.5625,95.5,48.55535888671875,3528300
2000-07-13,95.75,96.75,94.6875,96.375,49.00023651123047,2563400
2000-07-14,96.5625,97.0,95.625,96.0,48.80961227416992,2286500
2000-07-17,96.5,96.5,91.75,92.125,46.839412689208984,2500800
2000-07-18,91.875,92.875,90.6875,91.25,46.394535064697266,2278800
2000-07-19,90.3125,90.6875,87.5,88.25,44.869224548339844,2251000
2000-07-20,89.25,92.0,89.1875,91.25,46.394535064697266,2605200
2000-07-21,92.25,95.125,91.75,94.6875,48.14228057861328,3438100
2000-07-24,94.75,95.75,93.0625,94.125,47.85628128051758,1888200
2000-07-25,93.75,95.5,93.0,94.46875,48.031036376953125,2447700
2000-07-26,93.6875,94.875,92.6875,93.0,47.284278869628906,2652300
2000-07-27,94.375,95.25,90.625,92.5,47.03007125854492,2071900
2000-07-28,92.25,92.25,87.6875,88.25,44.869224548339844,2553000
2000-07-31,88.1875,91.4375,86.5,91.25,46.394535064697266,2712300
2000-08-01,92.125,92.5625,90.4375,90.9375,46.23564147949219,2189400
2000-08-02,91.3125,93.4375,90.75,92.1875,46.87118911743164,1960200
2000-08-03,91.0,94.5,90.9375,93.875,47.729148864746094,2389800
2000-08-04,95.0,98.4375,94.875,97.75,49.69933319091797,3421600
2000-08-07,98.125,99.0,96.0,98.6875,50.1760139465332,3821900
2000-08-08,98.5625,99.0625,96.3125,96.75,49.19090270996094,2225100
2000-08-09,96.0,100.1875,95.6875,98.375,50.017093658447266,3130100
2000-08-10,98.5625,99.875,96.5625,96.625,49.12734603881836,2373000
2000-08-11,96.9375,101.75,96.8125,101.625,51.66953659057617,2995000
2000-08-14,101.625,104.8125,99.625,104.0625,52.908836364746094,3322300
2000-08-15,103.75,104.1875,100.8125,101.5,51.60597229003906,2477900
2000-08-16,101.25,102.375,96.875,98.5,50.080650329589844,2839900
2000-08-17,97.875,102.5,97.875,102.1875,51.95549774169922,3369300
2000-08-18,102.0,102.625,100.0625,100.4375,51.06575393676758,2212600
2000-08-21,101.4375,102.0625,99.0,101.875,51.796627044677734,2480400
2000-08-22,101.375,103.875,101.125,102.875,52.305076599121094,2880700
2000-08-23,103.0,103.6875,101.0,101.59375,51.65364074707031,2453400
2000-08-24,101.625,103.5,101.0,103.125,52.43216323852539,2448800
2000-08-25,102.25,103.6875,100.3125,101.25,51.478858947753906,1717500
2000-08-28,100.5,103.9375,100.3125,102.875,52.305076599121094,1885900
2000-08-29,102.625,104.8125,101.1875,104.5,53.13127899169922,2689100
2000-08-30,104.0,106.3125,103.25,105.875,53.83033752441406,3293700
2000-08-31,104.875,108.5,104.5625,107.578125,54.6962776184082,2825900
2000-09-01,107.5625,108.0,106.375,107.6875,54.75190734863281,1994200
2000-09-05,107.6875,109.5,106.0,106.9375,54.370582580566406,2470100
2000-09-06,107.1875,109.9375,106.0,106.1875,53.9892463684082,3079500
2000-09-07,106.625,106.625,104.25,105.0,53.385494232177734,2198700
2000-09-08,104.875,107.0,104.0625,105.5,53.639686584472656,2833700
2000-09-11,104.75,109.6875,104.75,109.375,55.6098747253418,2543500
2000-09-12,108.4375,110.0,106.125,107.9375,54.87901306152344,2685900
2000-09-13,105.625,107.5625,103.0,104.5,53.13127899169922,3274400
2000-09-14,104.75,107.5,104.0625,104.9375,53.35367965698242,3002500
2000-09-15,103.0625,104.125,97.5625,98.5,50.080650329589844,5830000
2000-09-18,97.9375,98.25,93.5,93.5,47.538490295410156,4981300
2000-09-19,95.25,98.6875,93.875,97.5,49.57221603393555,4355000
2000-09-20,98.25,99.5,93.75,95.9375,48.77781677246094,4095400
2000-09-21,89.0,89.75,85.5,89.3125,45.4094352722168,11499300
2000-09-22,86.75,91.6875,86.75,90.5625,46.04499435424805,4058700
2000-09-25,91.875,94.5,91.875,92.4375,46.998287200927734,3602800
2000-09-26,92.5625,92.75,87.875,88.6875,45.091678619384766,4660400
2000-09-27,90.25,91.125,86.6875,86.8125,44.13833999633789,3085200
2000-09-28,87.0,92.25,86.8125,90.0625,45.790767669677734,4150800
2000-09-29,89.25,92.5,88.375,91.4375,46.48987579345703,4276700
2000-10-02,90.125,91.5,89.4375,90.625,46.076751708984375,2638600
2000-10-03,90.875,93.125,89.4375,91.875,46.712276458740234,4017500
2000-10-04,91.6875,91.6875,89.5625,90.375,46.04988098144531,3968700
2000-10-05,90.5,93.5,90.4375,92.0,46.87788391113281,4254800
2000-10-06,92.0,92.0,83.375,84.25,42.928958892822266,8024700
2000-10-09,85.5,85.9375,82.125,83.25,42.41939926147461,3819700
2000-10-10,83.375,83.6875,72.0,74.5,37.96091079711914,13778300
2000-10-11,75.25,80.9375,69.625,77.75,39.616912841796875,11458900
2000-10-12,78.75,78.75,70.625,70.75,36.050132751464844,7805000
2000-10-13,73.0,79.375,72.75,78.1875,39.839839935302734,5437400
2000-10-16,78.125,79.875,76.8125,77.6875,39.5850715637207,5786400
2000-10-17,77.6875,77.875,71.75,73.9375,37.67427444458008,5104400
2000-10-18,70.0,75.8125,68.25,73.0,37.196590423583984,5174800
2000-10-19,75.5,79.75,75.5,76.5625,39.01183319091797,3888000
2000-10-20,76.75,82.0625,76.625,80.9375,41.2411003112793,3924800
2000-10-23,82.125,82.125,77.6875,78.0,39.74430847167969,3627600
2000-10-24,79.125,82.375,78.875,81.25,41.40032196044922,4481000
2000-10-25,81.375,82.0,77.375,78.125,39.80801010131836,3949200
2000-10-26,79.5,79.5,74.4375,77.25,39.362144470214844,4834700
2000-10-27,78.375,80.5,77.8125,79.4375,40.47677230834961,4356400
2000-10-30,79.4375,81.25,78.25,80.875,41.209224700927734,4092400
2000-10-31,80.375,81.5,79.0,80.3125,40.92259979248047,4495700
2000-11-01,77.625,79.3125,76.0625,79.0625,40.28571701049805,4382400
2000-11-02,79.0625,82.0,78.4375,80.4375,40.98631286621094,3665300
2000-11-03,81.75,84.25,81.1875,83.5625,42.5786247253418,3291100
2000-11-06,83.25,83.25,79.0,80.25,40.89077377319336,3988800
2000-11-07,77.5,78.75,76.0625,76.625,39.04366683959961,5357600
2000-11-08,74.25,74.3125,71.0,73.0625,37.228431701660156,5558000
2000-11-09,71.75,72.9375,70.0,70.8125,36.08196258544922,4267800
