Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,8.625,8.78125,8.4375,8.65625,3.7384607791900635,1024800
2000-01-04,8.625,8.875,8.625,8.75,3.77895188331604,1462200
2000-01-05,8.875,9.09375,8.84375,8.9375,3.8599278926849365,2963400
2000-01-06,9.0,9.25,8.875,9.1875,3.9678988456726074,854600
2000-01-07,9.21875,9.25,8.9375,9.0,3.886920690536499,920000
2000-01-10,9.0625,9.09375,8.875,8.90625,3.8464295864105225,855400
2000-01-11,8.53125,8.53125,8.125,8.4375,3.6439859867095947,3798000
2000-01-12,8.40625,8.8125,8.375,8.8125,3.805941104888916,1728400
2000-01-13,8.71875,8.84375,8.59375,8.75,3.77895188331604,874800
2000-01-14,8.6875,8.71875,8.4375,8.71875,3.765453577041626,1452000
2000-01-18,8.65625,8.71875,8.53125,8.65625,3.7384607791900635,1398000
2000-01-19,8.6875,8.6875,8.5,8.625,3.724964141845703,4103000
2000-01-20,8.53125,8.59375,8.53125,8.59375,3.7114696502685547,1091800
2000-01-21,8.59375,8.71875,8.5,8.71875,3.765453577041626,1649000
2000-01-24,8.59375,8.6875,8.5625,8.59375,3.7114696502685547,1118800
2000-01-25,8.5625,8.71875,8.46875,8.625,3.724964141845703,1140400
2000-01-26,9.40625,9.5625,9.0,9.3125,4.021883010864258,9202200
2000-01-27,9.25,9.25,9.03125,9.15625,3.9544007778167725,2469200
2000-01-28,9.125,9.15625,8.96875,9.0625,3.913912296295166,1798200
2000-01-31,9.0625,9.34375,9.03125,9.28125,4.008387088775635,1273400
2000-02-01,9.21875,9.34375,9.21875,9.34375,4.0353779792785645,968800
2000-02-02,9.28125,9.5,9.28125,9.375,4.048873424530029,1315400
2000-02-03,9.4375,9.625,9.40625,9.5,4.102859973907471,1677200
2000-02-04,9.5,9.53125,9.4375,9.5,4.102859973907471,1912200
2000-02-07,9.5,9.59375,9.46875,9.53125,4.116354942321777,1934600
2000-02-08,9.5,9.5625,9.5,9.53125,4.116354942321777,1772400
2000-02-09,9.53125,9.59375,9.375,9.375,4.048873424530029,1681200
2000-02-10,9.4375,9.5,9.3125,9.375,4.048873424530029,2027000
