Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,20.9375,21.0,20.0625,20.5625,9.203343391418457,2354200
2000-01-04,20.375,20.375,19.1875,19.8125,8.867657661437988,3687700
2000-01-05,19.8125,20.0625,19.3125,19.375,8.671842575073242,2704200
2000-01-06,19.375,20.875,19.375,20.875,9.343212127685547,4185300
2000-01-07,20.9375,22.1875,20.9375,21.6875,9.706870079040527,4486700
2000-01-10,22.1875,22.3125,20.875,21.5625,9.65092658996582,2594200
2000-01-11,21.5,21.5,20.375,20.75,9.28726577758789,2032400
2000-01-12,20.875,21.9375,20.6875,21.8125,9.762819290161133,3381300
2000-01-13,22.875,23.25,22.3125,23.25,10.406214714050293,2848000
2000-01-14,24.25,24.875,22.875,23.25,10.406214714050293,3074400
2000-01-18,24.0,24.0,23.1875,23.4375,10.490130424499512,2850600
2000-01-19,23.3125,23.625,22.75,23.0,10.29431438446045,2264600
2000-01-20,22.9375,23.1875,21.75,22.1875,9.930659294128418,1660200
2000-01-21,22.4375,22.4375,21.5,21.6875,9.706870079040527,2459600
2000-01-24,22.0,22.0,21.25,21.4375,9.594979286193848,2060400
2000-01-25,21.1875,22.3125,21.0,21.75,9.734844207763672,1984600
2000-01-26,21.5,23.625,21.5,22.8125,10.210397720336914,3471500
2000-01-27,23.0625,23.875,23.0,23.125,10.350263595581055,2206000
2000-01-28,22.75,23.125,22.0,22.25,9.958629608154297,1906400
2000-01-31,22.0625,23.9375,21.9375,23.875,10.685949325561523,2254200
2000-02-01,23.75,24.75,23.25,24.3125,10.881765365600586,2521700
2000-02-02,24.1875,24.75,24.0,24.625,11.021631240844727,2146600
2000-02-03,24.5,24.5625,23.3125,23.9375,10.713921546936035,1991300
2000-02-04,24.0,24.0,22.3125,22.3125,9.986604690551758,2125900
2000-02-07,22.3125,22.875,22.0,22.75,10.182424545288086,1276700
2000-02-08,23.375,23.75,23.0625,23.625,10.574058532714844,2155300
2000-02-09,23.625,23.8125,22.8125,22.9375,10.26634693145752,1884100
2000-02-10,22.75,23.4375,22.3125,22.625,10.12647533416748,1237700
2000-02-11,22.625,23.0625,22.125,22.1875,9.930659294128418,1101400
2000-02-14,22.0625,22.3125,21.0,21.75,9.734844207763672,2542500
2000-02-15,21.0625,22.1875,21.0625,21.9375,9.818765640258789,2608600
2000-02-16,21.75,21.875,21.0,21.0625,9.427132606506348,2217100
2000-02-17,21.25,21.4375,19.6875,19.875,8.895635604858398,3921000
2000-02-18,19.75,20.0,19.125,19.1875,8.587925910949707,4014900
2000-02-22,19.25,19.8125,19.25,19.5625,8.755765914916992,3748000
2000-02-23,19.125,19.4375,18.875,19.0,8.504003524780273,2613800
2000-02-24,19.3125,19.375,18.0,18.5,8.280211448669434,3399400
2000-02-25,18.25,19.0625,17.75,18.0,8.05642318725586,3465100
2000-02-28,18.1875,18.4375,18.0,18.375,8.224264144897461,5374400
2000-02-29,18.0,18.3125,17.5,17.8125,7.9725022315979,2756800
2000-03-01,17.8125,18.5,17.5,18.3125,8.19629192352295,2176400
2000-03-02,18.5,18.75,18.125,18.6875,8.36413288116455,2319100
2000-03-03,19.4375,19.4375,18.375,18.8125,8.420080184936523,2347800
2000-03-06,18.625,18.6875,18.1875,18.3125,8.19629192352295,2310100
2000-03-07,18.75,18.8125,17.125,17.625,7.888579845428467,2986200
2000-03-08,17.375,17.375,16.6875,17.0,7.608842849731445,3204400
2000-03-09,16.375,17.375,16.375,17.1875,7.692765235900879,2818400
2000-03-10,17.1875,17.6875,17.0625,17.5625,7.860609531402588,1758300
2000-03-13,16.9375,17.8125,16.9375,17.6875,7.916557788848877,2653900
2000-03-14,17.75,18.375,17.5,17.875,8.000475883483887,3496700
2000-03-15,17.8125,19.875,17.75,19.875,8.895635604858398,3738600
2000-03-16,20.5,22.875,20.3125,22.875,10.238369941711426,5996000
2000-03-17,22.8125,23.0,22.25,22.4375,10.042557716369629,4704600
2000-03-20,22.5,22.625,21.75,22.125,9.902689933776855,3228300
2000-03-21,22.4375,23.6875,22.0625,23.625,10.574058532714844,3294900
2000-03-22,23.25,23.375,22.6875,23.3125,10.434186935424805,2343700
2000-03-23,23.0625,23.625,22.375,23.5,10.518106460571289,3007200
2000-03-24,23.375,23.875,23.0,23.6875,10.602032661437988,2682900
2000-03-27,23.5,23.8125,22.4375,23.0,10.29431438446045,2072300
2000-03-28,22.625,23.6875,22.625,23.1875,10.378239631652832,1517200
2000-03-29,23.4375,23.625,22.75,23.1875,10.45171070098877,1072100
2000-03-30,23.1875,23.1875,22.4375,22.5625,10.16999626159668,1294000
2000-03-31,22.75,23.25,22.375,22.9375,10.339028358459473,2323900
2000-04-03,23.375,24.625,23.3125,24.5,11.043316841125488,3363400
2000-04-04,24.5,25.0,22.5,24.0625,10.846115112304688,3413000
2000-04-05,24.125,24.4375,23.625,23.625,10.64891242980957,2106700
2000-04-06,24.0,24.125,23.1875,23.625,10.64891242980957,2160200
2000-04-07,23.6875,23.6875,23.0,23.4375,10.5643949508667,2020200
2000-04-10,23.0625,24.3125,23.0625,23.5,10.592562675476074,1934900
2000-04-11,23.875,25.1875,23.5,25.125,11.325033187866211,6194600
2000-04-12,25.0,27.3125,25.0,26.375,11.888467788696289,7165500
2000-04-13,25.9375,25.9375,25.0,25.125,11.325033187866211,2689000
2000-04-14,24.875,25.3125,23.6875,25.0625,11.296863555908203,3910900
2000-04-17,23.5,24.875,23.375,24.5625,11.07148551940918,2433100
2000-04-18,24.25,25.9375,24.25,25.625,11.550405502319336,2537000
2000-04-19,25.9375,26.25,25.1875,26.0,11.719437599182129,2596800
2000-04-20,26.0625,26.5,25.8125,26.5,11.944820404052734,2375500
2000-04-24,26.1875,28.0,26.0,27.75,12.508246421813965,4777900
2000-04-25,27.4375,27.8125,26.75,27.0,12.170182228088379,3077300
2000-04-26,27.0,27.0,26.25,26.625,12.001158714294434,2244300
2000-04-27,25.75,26.0625,25.0,25.5,11.494063377380371,3500200
2000-04-28,25.3125,25.625,24.5,24.875,11.212349891662598,1910100
2000-05-01,25.625,26.375,24.875,25.5,11.494063377380371,1771900
2000-05-02,25.5625,25.9375,25.375,25.8125,11.634926795959473,1046900
2000-05-03,25.4375,25.8125,24.6875,24.875,11.212349891662598,1820300
2000-05-04,24.75,24.9375,23.875,23.875,10.761600494384766,1707600
2000-05-05,23.6875,24.4375,23.6875,24.0,10.817939758300781,957000
2000-05-08,24.0,25.25,23.9375,24.9375,11.240520477294922,1537900
